question,answer
"ট্রান্সফরমার কি","ট্রান্সফরমার একটি বৈদ্যুতিক যন্ত্র যা ভোল্টেজ পরিবর্তন করে"
"রেজিস্টর কি","রেজিস্টর একটি প্যাসিভ কম্পোনেন্ট যা বিদ্যুৎ প্রবাহ সীমাবদ্ধ করে"
"ক্যাপাসিটর কি","ক্যাপাসিটর চার্জ সংরক্ষণ করে এবং সময়ে সময়ে ছাড়ে"
"ইনডাক্টর কি","ইনডাক্টর একটি প্যাসিভ ডিভাইস যা চৌম্বকীয় ক্ষেত্র তৈরি করে"
"ওহমস আইন কি","ওহমস আইন বলে ভোল্টেজ সমান কারেন্ট গুণ রেজিস্ট্যান্স"
"ভোল্টেজ কি","ভোল্টেজ হলো বৈদ্যুতিক পটেনশিয়াল পার্থক্য"
"কারেন্ট কি","কারেন্ট হলো ইলেকট্রনের প্রবাহ"
"রেজিস্ট্যান্স কি","রেজিস্ট্যান্স হলো বৈদ্যুতিক প্রতিরোধ"
"এসি কি","এসি হলো পরিবর্তনশীল কারেন্ট"
"ডিসি কি","ডিসি হলো ধ্রুব কারেন্ট"
